,
Duke, North Dakota St.
VCU,UCF
Mississippi St.,Liberty
Virginia Tech,Saint Louis
Maryland, Belmont
LSU,Yale
Louisville,Minnesota
Michigan St.,Bradley
,
Gonzaga, Fairleigh Dickinson
Syracuse,Baylor
Marquette,Murray St.
Florida St.,Vermont
Buffalo, St. John's
Texas Tech,Northern Kentucky
Nevada,Florida
Michigan,Montana
,
Virginia,Gardner Webb
Mississippi,Oklahoma
Wisconsin,Oregon
Kansas St.,UC Irvine
Villanova,Mount St. Mary's
Purdue,Old Dominion
Cincinnati,Iowa
Tennessee,Colgate
,
North Carolina,Iona
Utah St.,Washington
Auburn,New Mexico St.
Kansas,Northeastern
Iowa St.,Ohio St.
Houston,Georgia St.
Wofford,Seton Hall
Kentucky,Abilene Christian
,